"variable","proxy_covariance","proxy_correlation","normalized_impact"
"ln_rgdp",2.85244782169772e-05,0.0276289707295242,0.000818453028384648
"infl",-1.47726200152353e-05,-0.0494880960704336,-0.000423870876679135
"cr_qtr",0.0348516985431344,0.60826367020411,1
