"horizon","response","estimate","lower","upper","response_label"
0,"real_gdp",0.0818453028384648,-0.613628372860762,0.632183309120601,"Real GDP (% deviation)"
1,"real_gdp",0.00212968000563489,-0.682418896378959,0.537491383058755,"Real GDP (% deviation)"
2,"real_gdp",-0.157479082684398,-0.898765474310564,0.420821746592343,"Real GDP (% deviation)"
3,"real_gdp",-0.249217013723245,-1.04720458938904,0.390100867371004,"Real GDP (% deviation)"
4,"real_gdp",-0.307545310001392,-1.16093800868615,0.364133970060736,"Real GDP (% deviation)"
5,"real_gdp",-0.331026631969788,-1.25092475414479,0.362219721663959,"Real GDP (% deviation)"
6,"real_gdp",-0.335795016046653,-1.27620408023224,0.386687911354541,"Real GDP (% deviation)"
7,"real_gdp",-0.329422451819752,-1.30150439817489,0.428901181334324,"Real GDP (% deviation)"
8,"real_gdp",-0.318766491327817,-1.28821290552622,0.457708616332128,"Real GDP (% deviation)"
9,"real_gdp",-0.307180730884289,-1.24295360574225,0.49100124901708,"Real GDP (% deviation)"
10,"real_gdp",-0.296573239800026,-1.24290594492651,0.513646627185991,"Real GDP (% deviation)"
11,"real_gdp",-0.287620507423472,-1.21905776594416,0.520448675218859,"Real GDP (% deviation)"
12,"real_gdp",-0.280444549992795,-1.18907543253836,0.517527742811036,"Real GDP (% deviation)"
13,"real_gdp",-0.274855195326798,-1.16295817306608,0.522415906797955,"Real GDP (% deviation)"
14,"real_gdp",-0.27055900415901,-1.1613561613995,0.523543348195886,"Real GDP (% deviation)"
15,"real_gdp",-0.267246897703907,-1.16018659145445,0.519803303390927,"Real GDP (% deviation)"
16,"real_gdp",-0.264644922811802,-1.16094307350525,0.521532077252942,"Real GDP (% deviation)"
17,"real_gdp",-0.262530326261954,-1.16023331213495,0.516580731374439,"Real GDP (% deviation)"
18,"real_gdp",-0.260733883098098,-1.15821065536295,0.518299996752296,"Real GDP (% deviation)"
19,"real_gdp",-0.259133749757843,-1.15213973708103,0.516393439096938,"Real GDP (% deviation)"
20,"real_gdp",-0.257646670900444,-1.14324747433073,0.512974821030063,"Real GDP (% deviation)"
0,"inflation",-0.0423870876679135,-0.23211516820804,0.104198693881304,"Underlying inflation (quarterly ppt)"
1,"inflation",0.0716306420044386,-0.0406602643372034,0.184948324714147,"Underlying inflation (quarterly ppt)"
2,"inflation",0.107657112324785,0.0136228229887408,0.193608718215203,"Underlying inflation (quarterly ppt)"
3,"inflation",0.127098078182429,0.0400585620671832,0.204896268664453,"Underlying inflation (quarterly ppt)"
4,"inflation",0.118043222353516,0.0318081569815346,0.184671251278372,"Underlying inflation (quarterly ppt)"
5,"inflation",0.101426133406699,0.0158758559902416,0.161945332688758,"Underlying inflation (quarterly ppt)"
6,"inflation",0.0800500350183611,-0.00589761208693026,0.136075276332523,"Underlying inflation (quarterly ppt)"
7,"inflation",0.0597091322142998,-0.019917108154493,0.109795154983101,"Underlying inflation (quarterly ppt)"
8,"inflation",0.0420212528222019,-0.0312543848565836,0.0831943919030435,"Underlying inflation (quarterly ppt)"
9,"inflation",0.0280137070360769,-0.0318866256257256,0.0622241537909398,"Underlying inflation (quarterly ppt)"
10,"inflation",0.0175501728554452,-0.0328432427659154,0.0474338670004852,"Underlying inflation (quarterly ppt)"
11,"inflation",0.010182348141824,-0.0328608218572509,0.0363239689754395,"Underlying inflation (quarterly ppt)"
12,"inflation",0.00526333258019199,-0.0307027292237034,0.0273237561009392,"Underlying inflation (quarterly ppt)"
13,"inflation",0.00217137772369171,-0.0273696526109929,0.0207378759067258,"Underlying inflation (quarterly ppt)"
14,"inflation",0.000363990828270766,-0.02424066123272,0.016802365494586,"Underlying inflation (quarterly ppt)"
15,"inflation",-0.000586480598153753,-0.0203437939203875,0.0140894860217762,"Underlying inflation (quarterly ppt)"
16,"inflation",-0.000998553095729865,-0.0165811446438327,0.0122852126122884,"Underlying inflation (quarterly ppt)"
17,"inflation",-0.00109584798319177,-0.0125969270368201,0.0109385500033326,"Underlying inflation (quarterly ppt)"
18,"inflation",-0.00102746712779973,-0.00971319101981521,0.00958511168547498,"Underlying inflation (quarterly ppt)"
19,"inflation",-0.000887077333939497,-0.0071323434180179,0.00859087601195563,"Underlying inflation (quarterly ppt)"
20,"inflation",-0.000729458450398227,-0.00499235394139068,0.00817339064103183,"Underlying inflation (quarterly ppt)"
0,"price_level",-0.0423870876679135,-0.23211516820804,0.104198693881304,"Price level (% deviation)"
1,"price_level",0.0292435543365251,-0.235956877997284,0.244020408929536,"Price level (% deviation)"
2,"price_level",0.13690066666131,-0.194577134702676,0.39127014391882,"Price level (% deviation)"
3,"price_level",0.263998744843738,-0.103959330909542,0.552496749993449,"Price level (% deviation)"
4,"price_level",0.382041967197255,-0.0559020879771092,0.691048399703931,"Price level (% deviation)"
5,"price_level",0.483468100603953,-0.00165362390041769,0.821361527299872,"Price level (% deviation)"
6,"price_level",0.563518135622314,0.0151814796791858,0.926051990625609,"Price level (% deviation)"
7,"price_level",0.623227267836614,0.0219377183031725,1.01804871862575,"Price level (% deviation)"
8,"price_level",0.665248520658816,0.0257605272641827,1.07323170318994,"Price level (% deviation)"
9,"price_level",0.693262227694893,0.0217371689785389,1.11916955226889,"Price level (% deviation)"
10,"price_level",0.710812400550338,0.0128898042361191,1.13606086093608,"Price level (% deviation)"
11,"price_level",0.720994748692162,0.00764260217193425,1.14809811623259,"Price level (% deviation)"
12,"price_level",0.726258081272354,0.00600460570065801,1.16992155286364,"Price level (% deviation)"
13,"price_level",0.728429458996046,0.0077021751456161,1.16775673761304,"Price level (% deviation)"
14,"price_level",0.728793449824317,0.0161649689958451,1.16330608933407,"Price level (% deviation)"
15,"price_level",0.728206969226163,0.0174709018473919,1.16476243188327,"Price level (% deviation)"
16,"price_level",0.727208416130433,0.0171927948585123,1.17103202551517,"Price level (% deviation)"
17,"price_level",0.726112568147241,0.0172368586727778,1.17637141316631,"Price level (% deviation)"
18,"price_level",0.725085101019442,0.0167215002670862,1.17978837634081,"Price level (% deviation)"
19,"price_level",0.724198023685502,0.0162394046655334,1.18203687998947,"Price level (% deviation)"
20,"price_level",0.723468565235104,0.0158615664129773,1.18271869136044,"Price level (% deviation)"
0,"cash_rate",1,1,1,"Cash rate (ppt)"
1,"cash_rate",1.57000902517709,1.32164199274988,1.70625168641898,"Cash rate (ppt)"
2,"cash_rate",1.69789130746705,1.23341070850481,1.95924795444834,"Cash rate (ppt)"
3,"cash_rate",1.56757934406086,0.954346435820247,1.90716900428063,"Cash rate (ppt)"
4,"cash_rate",1.30428470930604,0.61000508266247,1.68962512848193,"Cash rate (ppt)"
5,"cash_rate",1.00931045100301,0.248737060627012,1.38923421861192,"Cash rate (ppt)"
6,"cash_rate",0.735608839784993,-0.0327758960664782,1.0936887958306,"Cash rate (ppt)"
7,"cash_rate",0.508732941231971,-0.192708135835418,0.825238320561261,"Cash rate (ppt)"
8,"cash_rate",0.334253036325852,-0.290824059827795,0.638570156855145,"Cash rate (ppt)"
9,"cash_rate",0.208057662167282,-0.35875842112774,0.493211430486196,"Cash rate (ppt)"
10,"cash_rate",0.121628020582951,-0.361243339298674,0.391847117061436,"Cash rate (ppt)"
11,"cash_rate",0.0656467991557861,-0.335084602707108,0.306698773838566,"Cash rate (ppt)"
12,"cash_rate",0.0316275312893661,-0.315038043191063,0.235572465986403,"Cash rate (ppt)"
13,"cash_rate",0.0126276697029443,-0.277553608379434,0.185200925924323,"Cash rate (ppt)"
14,"cash_rate",0.00334833521084109,-0.2337935647566,0.164930625527044,"Cash rate (ppt)"
15,"cash_rate",-2.73394911509527e-05,-0.185959314842268,0.149764833220575,"Cash rate (ppt)"
