"outcome","outcome_label","horizon","estimate","std_error","lower","upper","n"
"cash_rate","Cash rate (ppt from t-1)",4,2.18653203434236,0.421360075481974,1.49345638593329,2.87960768275143,93
"cash_rate","Cash rate (ppt from t-1)",8,0.729602541386254,0.728688728695341,-0.468983756926934,1.92818883969944,89
"real_gdp","Real GDP level (% from t-1)",4,0.522401708801277,0.474636995709467,-0.258306675076789,1.30311009267934,92
"real_gdp","Real GDP level (% from t-1)",8,1.18883868735696,0.547268423496747,0.288662236052323,2.0890151386616,88
"inflation","Underlying inflation (quarterly ppt)",4,0.0861529364638032,0.10733393960856,-0.0903956833963266,0.262701556323933,92
"inflation","Underlying inflation (quarterly ppt)",8,0.123181934321489,0.151151523685503,-0.125440197631852,0.37180406627483,88
"price_level","Price level (% from quarter t)",4,0.449466588908625,0.272869635146341,0.000635979853241819,0.898297197964008,92
"price_level","Price level (% from quarter t)",8,1.01955366463753,0.767569997566261,-0.242986629798469,2.28209395907353,88
