"outcome","outcome_label","horizon","estimate","std_error","lower","upper","n","nw_lag","r_squared","estimated"
"cash_rate","Cash rate (ppt from t-1)",0,1.15641140166783,0.194037931579607,0.837247406142952,1.47557539719271,96,1,0.763069731978271,TRUE
"cash_rate","Cash rate (ppt from t-1)",1,1.91326878572263,0.332711851849068,1.36600648947895,2.46053108196631,96,2,0.643315973163654,TRUE
"cash_rate","Cash rate (ppt from t-1)",2,2.28134845162938,0.360495226514207,1.6883865707988,2.87431033245997,95,3,0.551876143419789,TRUE
"cash_rate","Cash rate (ppt from t-1)",3,2.33549710347403,0.381453290864151,1.70806227448356,2.96293193246451,94,4,0.469213669459427,TRUE
"cash_rate","Cash rate (ppt from t-1)",4,2.18653203434236,0.421360075481974,1.49345638593329,2.87960768275143,93,5,0.413340212242171,TRUE
"cash_rate","Cash rate (ppt from t-1)",5,1.78850939544307,0.568878425577449,0.85278765383756,2.72423113704858,92,6,0.370846275259347,TRUE
"cash_rate","Cash rate (ppt from t-1)",6,1.51551684389017,0.695196096745138,0.372021022716422,2.65901266506392,91,7,0.353678623937575,TRUE
"cash_rate","Cash rate (ppt from t-1)",7,1.18896484418969,0.760232331617434,-0.0615060637970182,2.4394357521764,90,8,0.332866823661968,TRUE
"cash_rate","Cash rate (ppt from t-1)",8,0.729602541386254,0.728688728695341,-0.468983756926934,1.92818883969944,89,9,0.335560058560627,TRUE
"cash_rate","Cash rate (ppt from t-1)",9,0.279201921266498,0.674242003321102,-0.829827483339242,1.38823132587224,88,10,0.345893410824807,TRUE
"cash_rate","Cash rate (ppt from t-1)",10,0.0571337655484339,0.694128262664598,-1.08460562486495,1.19887315596182,87,11,0.349010170986591,TRUE
"cash_rate","Cash rate (ppt from t-1)",11,-0.253780058419334,0.769645340445368,-1.5197339881172,1.01217387127853,86,12,0.324593376061098,TRUE
"cash_rate","Cash rate (ppt from t-1)",12,-0.264795550424134,0.795204007999295,-1.57278974714812,1.04319864629985,85,13,0.304222135890251,TRUE
"cash_rate","Cash rate (ppt from t-1)",13,-0.0460849429704595,0.776333958207923,-1.32304066985435,1.23087078391343,84,14,0.299933849424138,TRUE
"cash_rate","Cash rate (ppt from t-1)",14,0.225291009697108,0.719886094992322,-0.958816244642944,1.40939826403716,83,15,0.307546555339054,TRUE
"cash_rate","Cash rate (ppt from t-1)",15,0.492245757194021,0.679334378088692,-0.625159858517986,1.60965137290603,82,16,0.315955135637063,TRUE
"cash_rate","Cash rate (ppt from t-1)",16,0.362939726886045,0.492599590416677,-0.447314496045636,1.17319394981773,81,17,0.333832213491494,TRUE
"real_gdp","Real GDP level (% from t-1)",0,0.226722410375271,0.285003734896011,-0.242067016663149,0.695511837413691,96,1,0.199949739730109,TRUE
"real_gdp","Real GDP level (% from t-1)",1,0.207432228563126,0.365478744558778,-0.393726809998051,0.808591267124303,95,2,0.275013718594778,TRUE
"real_gdp","Real GDP level (% from t-1)",2,0.245044918088597,0.515449663361072,-0.602794330201777,1.09288416637897,94,3,0.34620383748,TRUE
"real_gdp","Real GDP level (% from t-1)",3,0.840738998791441,0.367054930148595,0.236987365646106,1.44449063193678,93,4,0.44865234115663,TRUE
"real_gdp","Real GDP level (% from t-1)",4,0.522401708801277,0.474636995709467,-0.258306675076789,1.30311009267934,92,5,0.437236435938665,TRUE
"real_gdp","Real GDP level (% from t-1)",5,1.04561746893014,0.472395055893831,0.268596747889233,1.82263818997105,91,6,0.448563730827849,TRUE
"real_gdp","Real GDP level (% from t-1)",6,0.772559007380739,0.472626443256805,-0.00484231200338969,1.54996032676487,90,7,0.420790207465981,TRUE
"real_gdp","Real GDP level (% from t-1)",7,0.811274451474897,0.506337446314941,-0.02157653355758,1.64412543650737,89,8,0.420564142661713,TRUE
"real_gdp","Real GDP level (% from t-1)",8,1.18883868735696,0.547268423496747,0.288662236052323,2.0890151386616,88,9,0.422695463315077,TRUE
"real_gdp","Real GDP level (% from t-1)",9,0.913893238487525,0.668736596990517,-0.186080578547511,2.01386705552256,87,10,0.412881407433734,TRUE
"real_gdp","Real GDP level (% from t-1)",10,1.1248067468782,0.772526343029511,-0.145886010369445,2.39549950412585,86,11,0.396894795999049,TRUE
"real_gdp","Real GDP level (% from t-1)",11,0.651400252972697,0.816697402043196,-0.691947430899897,1.99474793684529,85,12,0.385750776030106,TRUE
"real_gdp","Real GDP level (% from t-1)",12,0.568961997374473,1.03187783018778,-1.12832599418071,2.26624998892965,84,13,0.383722722198788,TRUE
"real_gdp","Real GDP level (% from t-1)",13,0.59586132673749,1.09877872294056,-1.21146884090839,2.40319149438337,83,14,0.394940329859197,TRUE
"real_gdp","Real GDP level (% from t-1)",14,0.807139023446077,1.18228035628752,-1.13753910866694,2.75181715555909,82,15,0.384603406589716,TRUE
"real_gdp","Real GDP level (% from t-1)",15,0.48250496821259,1.2393426914427,-1.55603235284273,2.52104228926791,81,16,0.375290194878962,TRUE
"real_gdp","Real GDP level (% from t-1)",16,1.13896824154121,1.31761225870827,-1.02831106111081,3.30624754419324,80,17,0.371730519297216,TRUE
"inflation","Underlying inflation (quarterly ppt)",0,-0.0448449917101496,0.0861869611712925,-0.186609927388676,0.0969199439683766,96,1,0.380809783634937,TRUE
"inflation","Underlying inflation (quarterly ppt)",1,0.00507422301747802,0.0867290032179206,-0.137582292487405,0.147730738522361,95,2,0.281840881423856,TRUE
"inflation","Underlying inflation (quarterly ppt)",2,0.191561351550916,0.0902596654085065,0.043097413536308,0.340025289565524,94,3,0.235765432985476,TRUE
