"variable","horizon","estimate","lower","upper"
"mp_shock",0,1,0.725905745245751,1.13361913581413
"mp_shock",1,0.200778380858565,0.0115966076495695,0.334883243782072
"mp_shock",2,-0.0368068265576216,-0.208689026241186,0.0917407890827119
"mp_shock",3,-0.12397148287016,-0.275124799001079,0.0149418559047647
"mp_shock",4,-0.091964715181473,-0.180878027881935,0.00435119564352683
"mp_shock",5,0.00321345393416399,-0.0735479227749118,0.0906871825896807
"mp_shock",6,0.0258564340766186,-0.0203566231764468,0.0999609080027269
"mp_shock",7,0.0173804334895095,-0.021309927409124,0.066688686092087
"mp_shock",8,0.00335875039977071,-0.0307095088312276,0.0347919578708838
"mp_shock",9,-0.00530950928377527,-0.0336699638951528,0.0126158902473138
"mp_shock",10,-0.00411201678812532,-0.0252754213910295,0.00936748777457709
"mp_shock",11,-0.00103862007525311,-0.0136217881342039,0.0124739035001574
"mp_shock",12,0.000781618138980022,-0.00533145354293107,0.0129494655339712
"mp_shock",13,0.000947033231232193,-0.00389071538929034,0.0102401418627578
"mp_shock",14,0.000330393580048009,-0.00406308020588737,0.00600520288293529
"mp_shock",15,-9.528503050745e-05,-0.00406562977030082,0.00301356499075901
"mp_shock",16,-0.00016700871156349,-0.00310475609786821,0.00215210462621725
"mp_shock",17,-6.28584440026453e-05,-0.00205252610948545,0.00193565899545265
"mp_shock",18,3.70988583222531e-05,-0.0011948767906037,0.00182135641702318
"mp_shock",19,6.38745435450933e-05,-0.00101806416800321,0.00145316730724383
"mp_shock",20,4.69579323321351e-05,-0.000903956448852647,0.00109130091789728
"mp_shock",21,2.60192776160327e-05,-0.00085935717507834,0.000872604493064242
"mp_shock",22,1.80059253777006e-05,-0.000710371063815719,0.000695963456729588
"mp_shock",23,2.02726871533371e-05,-0.000663168961645836,0.000739718521403723
"mp_shock",24,2.45388560339109e-05,-0.000524537733273085,0.000673363898106385
"mp_shock",25,2.64924446448171e-05,-0.000501536517141957,0.000604659122822838
"mp_shock",26,2.61746287577153e-05,-0.000515664846622839,0.000561051364768225
"mp_shock",27,2.51559502560662e-05,-0.000516601169865475,0.000567038410118746
"mp_shock",28,2.44936259604809e-05,-0.000513538850627609,0.000560995377781912
"mp_shock",29,2.43138477189289e-05,-0.000487832028087626,0.00052912715180472
"mp_shock",30,2.43274668326725e-05,-0.000481852246445013,0.000531628293395917
"real_gdp",0,0,0,0
"real_gdp",1,-0.383627953503547,-0.784714899528899,0.0811418825014041
"real_gdp",2,-0.359895611130959,-0.883878912555438,0.271820766605989
"real_gdp",3,-0.0158288077435198,-0.652488699605784,0.698096844253669
"real_gdp",4,0.0342587379373086,-0.635867033124444,0.717549956069334
"real_gdp",5,0.013343565658395,-0.624302057172579,0.665914517260709
"real_gdp",6,-0.0580261272610538,-0.696200462041638,0.595635047286234
"real_gdp",7,-0.102545405582162,-0.730668798510809,0.567027267710198
"real_gdp",8,-0.107127089021714,-0.7432806698813,0.579941465253972
"real_gdp",9,-0.0997708971369644,-0.74707890421234,0.588240996517839
"real_gdp",10,-0.0936616378599193,-0.735465446265947,0.589531484271163
"real_gdp",11,-0.0930139671283321,-0.73426817423744,0.584194238628033
"real_gdp",12,-0.0954133065685833,-0.732797392931422,0.576312204627527
"real_gdp",13,-0.0970748167175858,-0.730721950847014,0.575094015381484
"real_gdp",14,-0.0973067713607126,-0.727578368702979,0.57392328351043
"real_gdp",15,-0.0966089071147863,-0.721883419621083,0.569442280628386
"real_gdp",16,-0.0957592838040422,-0.718186206845385,0.569864059789674
"real_gdp",17,-0.0951108880897148,-0.714030581247348,0.564945351014723
"real_gdp",18,-0.0946127400450644,-0.710909877523318,0.563267317273055
"real_gdp",19,-0.0941323785297366,-0.705891113754268,0.559117436046562
"real_gdp",20,-0.0936000535185066,-0.70083964362245,0.557615694828388
"real_gdp",21,-0.0930212875347069,-0.695816101586596,0.555387841441101
"real_gdp",22,-0.0924290493550542,-0.690812705234688,0.551291865414482
"real_gdp",23,-0.0918437269244175,-0.685837323273694,0.550128965214054
"real_gdp",24,-0.0912686925233489,-0.68089297166494,0.548922738112211
"real_gdp",25,-0.0906993824490463,-0.675978938238677,0.547640757379769
"real_gdp",26,-0.09013193598271,-0.671098434629619,0.545101929137845
